Empresa,Correo,Ciudad,Estado,Fuente
Grupo Vordcab,victor.ordonez@grupovordcab.com,,Tamaulipas,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md; 298190739-Directorio-Empres-As_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md; 788183268-Expo-Congreso-Mexicano-del-Petroleo-2016_extraccion_forense.md
"Industrias de Tuberías Flexibles, S de RL",jponce@itf.com.mx,,Tabasco,130104164-Explor-Ac-i-on-Pro-Ducci-on-Direc_extraccion_forense.md
"INDUSTRIAS IVSA, S.A. DE C.V.",,TLAXCALA,Tlaxcala,151891620-Directorio-Industrial-2_extraccion_forense.md; 40914077-Directorio-Rama_extraccion_forense.md
GRUPO BUEN PAÍS S.A. DE C.V.,,,Colima,152187746-Directorio_extraccion_forense.md
GRUPO DE TRABAJO (FAMIEMPRESA),castrord2000@yahoo.com.mx,,Hidalgo,152187746-Directorio_extraccion_forense.md
GRUPO BEHN RGIL GIALNZAK S. DE S.S.,eucarioang@hotmail.com,,Oaxaca,152187746-Directorio_extraccion_forense.md
GRUPO EL PRÓJIMO,,,Sinaloa,152187746-Directorio_extraccion_forense.md
GRUPO CODYASA SA DE CV,servicios@codyasa.com.mx,Ciudad de México,CDMX,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
"Grupo Collado, S.A. de C.V.",,Tlajomulco de Zúñiga,Jal.,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 313576039-Directorio-de-La-Construccion-2015-2016_extraccion_forense.md; 325870891-Empres-As_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
GRUPO CONSULTOR Y CONSTRUCTOR SA,consegui@gmail.com,Ciudad de México,CDMX,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO INDUSTRIAL FLEX SA DE CV,amacias@giflex.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO INFINITY SA DE CV,francisco@infinity.com.mx; contacto@infinity.com.mx,Ciudad de México,CDMX,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
GRUPO JOMAN TELECOMUNICACIONES SA DE CV,jorger@grupojoman.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
INDUSTRIAS LUGARTH SA DE CV,lugarth@lugarth.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,157694152-Directorio-Vol-23-2012-2013(1)_extraccion_forense.md; 360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 411215702-008100304_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
GRUPO SILER,fjlopezb@siler.com.mx; promo04@siler.com.mx,Iztacalco,Ciudad de México,232657463-Directorio-Final-Vanexpo_extraccion_forense.md
Grupo Legotec,idelap@legotec.com.mx,Veracruz,Veracruz,298190739-Directorio-Empres-As_extraccion_forense.md
Grupo PERC,cesar.pereda@grupoperc.com,,Ciudad de México,298190739-Directorio-Empres-As_extraccion_forense.md
Industrias Therme,ibaca@cft.com.mx,Ciudad de México,Ciudad de México,298190739-Directorio-Empres-As_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
GRUPO DOSO S.A. DE C.V,xallapan@hotmail.com,Veracruz,Veracruz,306865677-Directorio-Industria-Ver-2010_extraccion_forense.md
INDUSTRIAS DE MANTENIMIENTO S.A. DE C.V,indmto@prodigy.net.mx,Veracruz,Veracruz,306865677-Directorio-Industria-Ver-2010_extraccion_forense.md
AGROINDUSTRIAS UNIDAS DE MEXICO S.A,rhojeda@ecomtrading.com,Veracruz,Veracruz,306865677-Directorio-Industria-Ver-2010_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
"INDUSTRIAS LAMPU, S.A. DE C.V",,Veracruz,Veracruz,306865677-Directorio-Industria-Ver-2010_extraccion_forense.md
AGROINDUSTRIAS UNIDAS DECACAO S.A,apavon@ecomtrianding.com,Veracruz,Veracruz,306865677-Directorio-Industria-Ver-2010_extraccion_forense.md
INDUSTRIAS COR S.A. DE C.V. (LYNCOTT),veracruz@lyncott.com.mx,Veracruz,Veracruz,306865677-Directorio-Industria-Ver-2010_extraccion_forense.md
GRUPO ACIR SA DE CV,emota@grupoacir.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,325870891-Empres-As_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO SEDAS CATALUÑA SA DE CV,gitt@catalunia.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,325870891-Empres-As_extraccion_forense.md; 411215702-008100304_extraccion_forense.md
Grupo,lgarciar@chedraui.com.mx,Miguel Hidalgo,Durango,360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 540169610-DIRECTORIO-DE-EMPRESAS-NACIONALES(1)_extraccion_forense.md
INDUSTRIAS TAMER SA DE CV,bibarraran@mikels.com.mx; etamer@mikels.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,360087440-Directorio-de-la-Construccion-Vol-27_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
A & R CORPORATIVO ADUANAL SA DE CV,arcorpo@hotmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,376131117-Directorio-de-Empresas-Mexico_extraccion_forense.md; 410437981-HMEmpresas23a-2_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
"CORPORATIVO DE SERVICIOS SABE, S.A. DE C.V. (",emaciel@yale.com.mx,CHIAUTEMPAN,Tlaxcala,40914077-Directorio-Rama_extraccion_forense.md
"IMPULSORA TLAXCALTECA DE INDUSTRIAS, S.A. D",gsantana@itisa.com,PAPALOTLA DE XICOHTENCATL,Tlaxcala,40914077-Directorio-Rama_extraccion_forense.md
"GRUPO TEXTIL PROVIDENCIA, S.A. DE C.V. (PLANT",atorre@provitex.com,CHIAUTEMPAN,Tlaxcala,40914077-Directorio-Rama_extraccion_forense.md
GYEC GRUPO MEXICANO SA DE CV,rcastillo@gyec.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,410437981-HMEmpresas23a-2_extraccion_forense.md
IX CORPORATIVE SA DE CV,ixcorporative1@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,410437981-HMEmpresas23a-2_extraccion_forense.md
MACMILLAN ADMINISTRACIÓN CORPORATIVA SA DE CV,elt@grupomacmillan.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,410437981-HMEmpresas23a-2_extraccion_forense.md; 535065788-HMExport16a_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
OCAMPO GRUPO ADUANAL SA DE CV,linea.directa@ocampo.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,410437981-HMEmpresas23a-2_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
QB INDUSTRIAS SA DE CV,aaguilar@quimic.norvak.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,410437981-HMEmpresas23a-2_extraccion_forense.md
GRUPO HOSTO SA DE CV,contacto@grupohosto.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO EDITORIAL MIGUEL ÁNGEL PORRÚA SA DE CV,maporrua@maporrua.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO MYG INGENIEROS PROFESIONALES ASOCIADOS SA DE CV,myg2002@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
GRUPO SMART DE MÉXICO SA DE CV,gposmart@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO ROSTENBERG SA DE CV,yoshua@rostenberg.com; orly@rostenberg.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
FG ASESORES CORPORATIVOS SA DE CV,coases@prodigy.net.mx; secreflores@yahoo.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO INFFINIX SA DE CV,rebeca.velazquez@equifax.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 622098401-HMEmpresarios20a_extraccion_forense.md
GRUPO MEXICANO DE DESARROLLO SAB Carr,leticia.reyes@gmd.com.mx; miriam.sanchez@gmd.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO MEXICANO INDUSTRIAL SA DE CV,leticia.reyes@gmd.com.mx; miriam.sanchez@gmd.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO MORELOS ELECTRONIC SA DE CV,gpmorel@prodigy.net.mx; gpmorel@gmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
CORPORATIVO MAGUEY SA DE CV,almaguey02@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO DIDÁCTICO AYALA SA DE CV,educa1@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO COATS SA DE CV,thalia.hernandez@coats.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO CARRIZAL SA DE CV,hildacancer@yahoo.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
INDUSTRIAS Y REPRESENTACIONES GAR-VEL SA DE CV,proyectos@gar-vel.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
CORPORATIVO CINCO SA DE CV,raguilar@herdez.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO HERDEZ SAB DE CV Monte,raguilar@herdez.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
CORPORATIVO AGROINDUSTRIAL ALTEX SA DE CV,rservitje@grupoaltex.com; xvalente@grupoaltex.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
CORPORATIVO ECONOMEX SA,maria.aldana@maskota.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
SERVICIOS CORPORATIVOS GICISA SA DE CV,ivignaud@iusa.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO INVERSIÓN SA DE CV,mbrachet@ginversion.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO COMERCIAL CHEDRAUI SAB DE CV,lgarciar@chedraui.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
GRUPO PRO-ECOLÓGICO MEXICANO SA DE CV,angel.lamadrid@mir-mexico.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO DE INGENIERÍA EN CONSULTORÍA Y OBRAS SA DE CV,gicosa@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO LEDSA SA DE CV,grupo_ledsa@hotmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
INDUSTRIAS LA PASIEGA SA DE CV,5557850017@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
DIRECCIÓN CORPORATIVA RAMDAL SA DE CV,bperez@iral.net; rm_mercadotecnia@iral.net,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO ANDIC SA DE CV,edichim@gmail.com; fcotorres62@gmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
GRUPO EAI SA DE CV,fax.grupoandic@gmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
INDUSTRIAS HBM SA DE CV,ventas@hbm.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md; 709159866-CHANGE-ME-PLEASE_extraccion_forense.md
GRUPO SONOCO SA DE CV,gabriela.balderas@sonoco.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO INDUSTRIAL TEPOTZOTLÁN SA DE CV,comprasdenim@hotmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO ZET INTERNACIONAL SA DE CV,bmartinez@intima.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
GRUPO INDUSTRIAL VALRO SA DE CV,carlos.vallejo@grupovalro.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
INDUSTRIAS BUNNY BABY SA DE CV,jtrejo@ibb.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md; 564645792-Industridata-empresas-AA(1)_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
AVIGRUPO SA DE CV,recepcion.tecamac@avigrupo.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
INDUSTRIAS DEL MAÍZ PUEBLA SA DE CV,b.guzman@impsacv.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO DISTRIBUIDOR FERRETERO SA DE CV,alfred_hs@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO DE INGENIERÍA EN CONSTRUCCIÓN INTEGRAL SA DE CV,climas_iaa@yahoo.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
GRUPO PROVEEDOR Y PRODUCTOR DE UNIFORMES SA DE CV,njulieta@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,411215702-008100304_extraccion_forense.md
Agroindustrias Del Sur O.P.D,luiscroche@hotmail.com,Acapulco,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Agroindustrias La Huerta S.D. Erp De R.L,vero_antla@hotmail.com,Xaloxtoc,Morelos,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
fcano@grupoacueducto.com Lic. Francisco Javier Cano Muñoz/ Dir. de Logística,capaz@prodigy.net.mx,Zihuatanejo,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Corporativa FRABE, S de R.L. de C.V. (Telecable",,Tecpan de Galeana,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Corporativo Aduanal Osorio, SC",,Mazatlán,Sinaloa,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Corporativo Internacional Especializado, SC",,Lázaro Cárdenas,Michoacán,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
GRUPO FEMSA SA DE CV,lgcapetillo@sezimag.com.mx,Ciudad de México,CDMX,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md; 655608121-DIRECTORIO-D-EMPRESAS-POR-COLONIA_extraccion_forense.md
Grupo BIMBO,,Zihuatanejo,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md; 686680345-Directorio-de-Proveedores-2021_extraccion_forense.md
"Grupo Comercial en Terminales del Sur, SA de CV",,Zihuatanejo,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Grupo Covarra, S.A. De C.V",,Cuernavaca,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo Estrella Blanca,,Chilpancingo,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Grupo Financiero Interacciones, S.A. De C.V",,México,CDMEX,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Grupo Freza, SA de CV",o@grupofreza.com.mx,"Zamora, Mich",Michoacán,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
Grupo Lala,,Tecpan,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo M Chrysler-Nissan,,Ocotito,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo M Nissan,,Acapulco,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo M Nissan-Chrysler,capacitador_desarrollo@chrysleracapulco.com.mx,Acapulco,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo Marmor,,Morelia,Michoacán,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Grupo Mi Camion, S.A. De C.V",yvillalva@grupomicamion.com,Acapulco,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Grupo Nene, S.A. De C.V",,Puebla,Puebla,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo Nero,,Uruapan,Michoacán,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Grupo Radiodifusoras Capital, S.A. De C.V",jbanos@gruporadiocapital.com.mx,Chilpancingo,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo Radiorama Guerrero,,Acapulco,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
Grupo Trasportista de la Costa Michoacana,,Lázaro Cárdenas,Michoacán,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
"Industrias Ferroplasticas, S.A. de C.V",,Querétaro,Querétaro,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md; 583034336-Pad-Imp_extraccion_forense.md
Industrias San Luis,,Tecpan de Galeana,Guerrero,426832874-360978567-Directorio-2017-2-pdf_extraccion_forense.md
GRUPO ASES,mkt@grupoases.com,Monterrey,Nuevo León,462341571-Directorio-1_extraccion_forense.md; 478112650-Directorio-1-pdf_extraccion_forense.md
"LABORATORIOS COLUMBIA, S.A. DE C.V. GRUPO COLUMBIA",mmartine@gcolumbia.com / rcastano@gcolumbia.com,Ciudad de México,Ciudad de México,467320351-HmMexCorp24a-pdf_extraccion_forense.md; 535065788-HMExport16a_extraccion_forense.md; 655608126-DIRECTORIO-DE-CORPORACIONES_extraccion_forense.md; 687828781-DirImport26-Base-de-Datos-Nacional_extraccion_forense.md
"RADIO FÓRMULA, S.A. GRUPO FÓRMULA",ldavila@radioformula.com.mx,Ciudad de México,Ciudad de México,467320351-HmMexCorp24a-pdf_extraccion_forense.md; 655608126-DIRECTORIO-DE-CORPORACIONES_extraccion_forense.md
"ZARA MÉXICO, S.A. DE C.V. GRUPO INDITEX",pedrocc@mx.inditex.com / recepcionmx@mx.inditex.com,Ciudad de México,Ciudad de México,467320351-HmMexCorp24a-pdf_extraccion_forense.md; 655608126-DIRECTORIO-DE-CORPORACIONES_extraccion_forense.md
GRUPO MYG INGENIEROS PROFESIONALES ASOCIADOS SA DE CV 2ª Priv de Aragón 27 Bar,myg2002@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO SMART DE MÉXICO SA DE CV Andalucía 144 Bar,gposmart@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
FG ASESORES CORPORATIVOS SA DE CV Progreso 106 PH Bar,secreflores@yahoo.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO FINANCIERO BANAMEX SA CITIBANAMEX,,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO MEXICANO INDUSTRIAL SA DE CV Carr México-Toluca 4000 Pueblo Cuajimalpa,leticia.reyes@gmd.com.mx; miriam.sanchez@gmd.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO INDUSTRIAL IGSA SA DE CV Prol Reforma 2977 piso 1 Pueblo Cuajimalpa,marisol.palos@igsa.com.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO MEXICANO DE SERVICIOS INTEGRALES SA DE CV Isabel La Católica 45 piso 9 Desp 902 Centro,gmjuridico@gmesin.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO OXYCHEM DE MÉXICO SA DE CV Periférico Sur 3343 Pueblo,cynthia_gomez@oxy.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO DE INGENIERÍA EN CONSULTORÍA Y OBRAS SA DE CV Tlalpan 4911 Bis Pueblo Tlalpan Centro,gicosa@prodigy.net.mx,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
GRUPO LEDSA SA DE CV Filomeno González s/n Pueblo Santo Tomás Ajusco,grupo_ledsa@hotmail.com,Ciudad de México / área metropolitana,CDMX / área metropolitana,467320682-HMColonias24a-pdf_extraccion_forense.md
"(antes TRANSFORMADORES Y TECNOLOGÍA, S.A.) (GRUPO ARTECHE)",arteche@arteche.com.mx,Tepeji del Río,Hgo.,493988669-Industridata-empresas-B-1_extraccion_forense.md; 493988669-Industridata-empresas-B_extraccion_forense.md
(SERVICIOS DE PLATA Y ORO) (NEWGOLD MÉXICO) (GRUPO NEWGOLD),daniela.fierro@newgold.com,Cerro de San Pedro,S.L.P.,493988669-Industridata-empresas-B-1_extraccion_forense.md; 493988669-Industridata-empresas-B_extraccion_forense.md
"(antes ACEROS ANGLO, S.A. DE C.V.) (GRUPO PALMÉXICO)",cotizaciones@palmexico.com.mx,Toluca,Estado de México,493988669-Industridata-empresas-B-1_extraccion_forense.md; 493988669-Industridata-empresas-B_extraccion_forense.md
"INDUSTRIAS DE CALZADO ARLESA, S. DE R.L. DE C.V.",direccion@padus.com.mx,León,Guanajuato,493988669-Industridata-empresas-B-1_extraccion_forense.md; 493988669-Industridata-empresas-B_extraccion_forense.md
"(SERVICIOS ADMINISTRATIVOS PRINTAFORM) (GRUPO PRINTAFORM, S.A.)",jesus.vargas@printaform.com.mx,México,Ciudad de México,493988669-Industridata-empresas-B-1_extraccion_forense.md; 493988669-Industridata-empresas-B_extraccion_forense.md
"PROMESA SERVICIOS CORPORATIVOS, S.A. DE C.V.",analaura@gpromesa.com.mx,Mexicali,Baja California,493988669-Industridata-empresas-B-1_extraccion_forense.md; 493988669-Industridata-empresas-B_extraccion_forense.md
"EDITORIAL LIMUSA, S.A. DE C.V. GRUPO NORIEGA EDITORES",cristinag@noriegaeditores.com,"México, CIUDAD",DE,535065788-HMExport16a_extraccion_forense.md; 74307275-9685097577_extraccion_forense.md
"EDITORIAL PLANETA MEXICANA, S.A. DE C.V. GRUPO PLANETA 319 - 323",llopez@planeta.com.mx,Cuautitlán,Izcalli,535065788-HMExport16a_extraccion_forense.md
